epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr,epoch_time_sec
1,1.7088834822952848,1.3569071305458653,0.38920293951384966,0.5316622691292876,0.34387172429396057,0.4023723258938312,0.001,269.0606439113617
2,1.4138711473913501,1.296915591549433,0.49660825325042396,0.5435356200527705,0.4344876583185646,0.4939426443613943,0.0009938503261272714,228.8412811756134
3,1.346715768897109,1.2516577202915202,0.5260033917467496,0.5923482849604221,0.4686137652789058,0.49814080480501727,0.0009755527298894295,174.3529407978058
4,1.3108385282428066,1.270252424997516,0.5638778971170153,0.5461741424802111,0.5067989164694963,0.46854333811107596,0.0009455577588320899,181.11553287506104
5,1.278722812928609,1.1904880824378423,0.5895986433013002,0.5844327176781002,0.5439922739133015,0.5291719147390507,0.0009046039886902865,225.81983995437622
6,1.2209834202728143,1.2170405674106528,0.6249293386093838,0.5949868073878628,0.5822234189539053,0.5274116064937949,0.0008536998372026806,260.33201146125793
7,1.1790027878525704,1.248849270840748,0.633408705483324,0.604221635883905,0.5907527674857531,0.540745904223613,0.0007940987335200905,313.4360315799713
8,1.16103401771705,1.1514127068909616,0.642736009044658,0.6503957783641161,0.6001870146730272,0.5875285492576471,0.0007272682546199038,270.80873799324036
9,1.1458034779541637,1.0004499579797006,0.641888072357264,0.7031662269129287,0.6070765997328721,0.6481119840365249,0.0006548539886902865,2015.8045303821564
10,1.1111545204914108,0.9952430541093872,0.6766534765404183,0.6939313984168866,0.6396106655243975,0.6541427072886173,0.0005786390152875956,225.74478769302368
11,1.0704662782988217,0.9858255464986635,0.6955907292255512,0.7216358839050132,0.6613770502865056,0.6861285912424971,0.0005005000000000002,215.94544553756714
12,1.0606683946855329,0.9452805158959844,0.7035048049745619,0.7691292875989446,0.6730777201323939,0.7412935941917174,0.000422360984712405,225.58449864387512
13,1.036476005329932,0.9307439313085853,0.7167891464104014,0.741424802110818,0.6837570363227782,0.7141414191683739,0.00034614601130971394,214.9533760547638
14,1.01135246662045,1.0192923420022848,0.723855285472018,0.7176781002638523,0.6979105366366384,0.6865055751038155,0.0002737317453800965,215.56037020683289
15,0.9964811986553392,0.8813221725121652,0.7306387789711701,0.7823218997361477,0.7033556091152477,0.7629721344587295,0.00020690126647990978,204.79099822044373
16,0.9757774544678683,0.909692427256491,0.7399660825325043,0.7810026385224275,0.7107550196530757,0.750048423542511,0.00014730016279731957,214.1129388809204
17,0.9697107745133395,0.8932255626039329,0.7526851328434143,0.7730870712401056,0.7271051938630372,0.7496148126017496,9.639601130971382e-05,269.70981001853943
18,0.9502719020088761,0.8598054109588462,0.7586206896551724,0.7981530343007915,0.7373461884030337,0.7766962099360142,5.54422411679103e-05,271.1985697746277
19,0.9438047239239975,0.8659275859830248,0.7637083097795364,0.7849604221635884,0.7384397781497145,0.7635002401063965,2.5447270110570818e-05,236.1594202518463
20,0.942975584027995,0.8662126388273013,0.7594686263425664,0.7941952506596306,0.7332627932931352,0.770720494969131,7.149673872728741e-06,199.42237758636475
